FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name,FLAG
0,1641.74,2103.12,327679.35,10,148,0,14.341,1.429861,21.161505,211.6150523,0.004326,2095.638173,0,0,0,5,0
1,2811.51,837.98,9812.92,2,5,0,0.5,0.498,1.244517,2.489034,0.000966,13.37,0,0,0,1,1
0,157.32,0,314.65,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,20.17,3.92,68.37,3,2,0,88.309828,50.5,33.666149,100.998446,0.001554,0,0,0,0,0,0
0,4.38,24303.06,243074.38,10,10,0,9,3.5674,3.566366,35.66365972,0.01034028,0,0,0,0,0,0
0,9363.73,20006.65,498887.17,2,24,0,27.292471,2.293015,0.075102,0.150203615,54.88215264,100.3370001,0,0,0,4,0
0,0,0,519.63,1,1,0,10,10,9.9978,9.9978,0.0022,0,0,0,0,0,0
0,0,0,201.27,1,1,0,0.094,0.094,0.09358,0.09358,0.00042,0,0,0,0,0,0
0,162.71,0.21,325.83,2,2,0,59.567946,50.5,50.499487,100.9989738,0.001026218,0,0,0,0,0,0
0,5980.35,18633.46,498256.47,21,20,0,499.99,129.97006,123.780506,2599.390622,0.0105747,0,0,0,0,0,0
0,23.98,0.25,72.45,3,2,0,96.471994,50.5,33.666152,100.9984557,0.001544256,0,0,0,0,0,0
0,158.72,0.3,318.03,2,2,0,51.064491,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,2152.95,680.22,22889.93,10,2,0,0.1,0.075,0.011073,0.110734264,0.039265736,0,0,0,1,1,0
0,13.72,10900.63,76400.45,7,7,0,31.575882,8.870693,8.870245,62.09171492,0.00313734,0,0,0,0,0,1
